country,year,value
Cambodia,2017,4760.49170488125
Cambodia,2018,4901.058314960416
Cambodia,2019,5177.645053766667
Indonesia,1990,74557.705075325
Indonesia,1991,77212.32115116876
Indonesia,1992,79700.61372154791
Indonesia,1993,82370.80450898957
Indonesia,1994,84356.48895234792
Indonesia,1995,85872.0244253
Indonesia,1996,87264.24517577917
Indonesia,1997,89106.30294291668
Indonesia,1998,90962.12725443125
Indonesia,1999,92871.20404660626
Indonesia,2000,94588.53536307292
Indonesia,2001,96421.52875770417
Indonesia,2002,98095.35982494167
Indonesia,2003,99874.19207896042
Indonesia,2004,101401.32134271665
Indonesia,2005,103188.1429412146
Indonesia,2006,106169.92323407707
Indonesia,2007,110646.50170992083
Indonesia,2008,116169.48024887916
Indonesia,2009,120868.361923
Indonesia,2010,123626.91483979375
Indonesia,2011,125330.92868238124
Indonesia,2012,128055.21428521875
Indonesia,2013,130523.54927483543
Indonesia,2014,132344.80995933543
Indonesia,2015,134628.90067158334
Indonesia,2016,133828.27989938544
Indonesia,2017,134105.06837145417
Indonesia,2018,138714.5840334875
Indonesia,2019,146956.34207811666
Malaysia,1990,9972.148540464585
Malaysia,1991,9649.537962879167
Malaysia,1992,9511.499384658333
Malaysia,1993,9452.398270577083
Malaysia,1994,9481.075386006249
Malaysia,1995,9815.69470943125
Malaysia,1996,9668.134012714583
Malaysia,1997,9715.54976235625
Malaysia,1998,9579.451391366667
Malaysia,1999,10647.453363220833
Malaysia,2000,10137.607975576459
Malaysia,2001,10105.208746508959
Malaysia,2002,10276.991278452917
Malaysia,2003,10736.707658772291
Malaysia,2004,10905.083709169166
Malaysia,2005,11064.568531112918
Malaysia,2006,11193.462459243749
Malaysia,2007,11291.313470096042
Malaysia,2008,11691.045433387082
Malaysia,2009,12010.774131683958
Malaysia,2010,12003.027032172708
Malaysia,2011,12267.070141849375
Malaysia,2012,12586.637535380623
Malaysia,2013,12568.298750417292
Malaysia,2014,13314.867476381458
Malaysia,2015,13809.456335585208
Malaysia,2016,13613.139094269374
Malaysia,2017,13368.9161221325
Malaysia,2018,13754.999958962084
Malaysia,2019,14462.138689935207
Myanmar,1990,21551.48028374792
Myanmar,1991,21818.968806625
Myanmar,1992,22026.133112331252
Myanmar,1993,22196.491137570833
Myanmar,1994,22308.85757745625
Myanmar,1995,22432.01224713125
Myanmar,1996,22594.87079467917
Myanmar,1997,22769.085684170834
Myanmar,1998,23097.682966258333
Myanmar,1999,23418.68282779792
Myanmar,2000,23759.227519052085
Myanmar,2001,24419.442264752084
Myanmar,2002,25552.632578670833
Myanmar,2003,26920.311262835417
Myanmar,2004,28450.754822383333
Myanmar,2005,29383.228820589586
Myanmar,2006,30196.48701846042
Myanmar,2007,30842.119478958335
Myanmar,2008,31514.038834197916
Myanmar,2009,31949.138484741667
Myanmar,2010,31646.3957405125
Myanmar,2011,31292.112768699997
Myanmar,2012,30674.98734137083
Myanmar,2013,30494.089379037498
Myanmar,2014,30322.98660750625
Myanmar,2015,30159.63499355625
Myanmar,2016,30098.715633414584
Myanmar,2017,30127.96469408958
Myanmar,2018,30790.6286445125
Myanmar,2019,32152.554398233333
Philippines,1990,21661.942631447917
Philippines,1991,21707.255257872916
Philippines,1992,22183.27998620417
Philippines,1993,22849.664586945833
Philippines,1994,23411.080143079165
Philippines,1995,24103.183988822915
Philippines,1996,25101.6867647125
Philippines,1997,26093.300727922917
Philippines,1998,27577.253082199997
Philippines,1999,29913.01008579583
Philippines,2000,32315.389178177084
Philippines,2001,34450.947029177085
Philippines,2002,36149.39672978542
Philippines,2003,36945.88637633542
Philippines,2004,37509.08774044792
Philippines,2005,39033.9752190125
Philippines,2006,39494.424184208336
Philippines,2007,39181.68880325208
